kommunenummer,name,records,grunnkretser,years,population
1127,Randaberg,81,9,9,1245.4197530864199
301,Oslo,5253,615,9,1178.5313888352327
1124,Sola,234,26,9,1083.0266666666666
1103,Stavanger,2107,247,9,600.0267175572519
1532,Giske,135,15,9,561.3703703703703
1121,Time,315,35,9,544.7746031746032
1149,Karmøy,711,79,9,536.957805907173
1516,Ulstein,153,17,9,515.7583892617449
1122,Gjesdal,216,24,9,515.4142857142857
1120,Klepp,351,39,9,508.4183381088825
1531,Sula,171,19,9,490.63157894736844
1130,Strand,239,27,9,489.06276150627616
1144,Kvitsøy,63,7,9,75.23809523809524
1838,Gildeskål,243,27,9,75.56652360515021
1839,Beiarn,117,13,9,78.88034188034187
1816,Vevelstad,54,6,9,80.75925925925925
1836,Rødøy,126,14,9,92.4957264957265
1811,Bindal,135,15,9,100.2890625
1853,Evenes,117,13,9,106.95614035087719
1848,Steigen,216,24,9,108.79439252336448
1815,Vega,99,11,9,111.1938775510204
1826,Hattfjelldal,108,12,9,111.53703703703704
1867,Bø,207,23,9,116.26865671641791
1874,Moskenes,81,9,9,119.44736842105263
